skill	*Id	*Laz2	*Laz/Level	*Laz	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
MissileSkill1	183							110																																																																																								66																		1	0		none												SQ	SQ	S1																													1															0	0									1																																															1								8																																					0	0
MonTeleport	184							98																																																																									sorceress_teleport											teleport																						1	0		none												SQ	SQ	S1																													1															0	0									1																																															1								8																																					0	0
PrimeLightning	185																	monsterlight																																																															mephisto_lightning_cast																				monsterlight													1	0		none												SQ	SQ	A2																													1															0	0									1																																															1								8																																					0	0
PrimeBolt	186							17													chargedstrikebolt																																																												mephisto_chargedbolt_cast															23						chargedbolt												1	0		none												SQ	SQ	A1																													1															0	0									1											lvl+2	# of Bolt Missiles created																																			1								8																																					0	0
PrimeBlaze	187							23													blaze						blaze		dm12																																																				monster_cast_fire																				blaze													1	0		none												SQ	SQ	A1																													1															0	0									1																							0	Buff Duration Min	60	Buff Duration Max																					1								8																																					0	0
PrimeFirewall	188							24													vampirefirewallmaker	vampirefirewall																																																											monster_cast_fire															26						vampirefirewallmaker												1	0		none												SQ	SQ	A1																													1															0	0									1											par1	# of max Fire Walls (oldest is removed when the limit is hit)											0	# of max Fire Walls (oldest is removed when the limit is hit)																							1								8																																					0	0
PrimeSpike	189																	monglacialspike											ln12	ln34																																																			monster_cast_cold																				monglacialspike													1	0		none												SQ	SQ	A1																													1															0	0									1																							4	Radius baseline	0	Radius per level	25	Freeze frames baseline	10	Freeze frames per level																	1								8																																					0	0
PrimeIceNova	190							22													frostnova																																																												monster_cast_cold															25						frostnova				0	Missile Velocity Adder							1	0		none												SQ	SQ	A1																													1															0	0									1											0	Missile Velocity Adder																																			1								8																																					0	0
PrimePoisonball	191							8													poisonball																																																												mephisto_orb_cast															17						poisonball												1	0		none												SQ	SQ	A1																													1															0	0									1											min(ln12,24)	# of Missiles created	par3	Missile Activation Frame	0	# of missiles that can trigger item modifier events							3	# of Missiles created baseline	0	# of Missiles created per level	1	Missile Activation Frame																			1								8																																					0	0
PrimePoisonNova	192							99													primepoisoncloud																																																																											55						primepoisoncloud												1	0		none												SQ	SQ	A1																													1															0	0									1											lvl-1	# of Missile Subloops	2	Missiles Created Modifier (used as 16/#=Total Missiles created) (Min=1)																																	1								8																																					0	0
DiabLight	193						53	152													diablight																																																												diablo_laser_cast														40	56						diablight				0	Delay between Missiles created							1	0		none												SQ	SQ	SC																													1															0	0									1	1										0	Missile Range (If 0, then use Missile Param2)	par1	Anim Frame Adder (Min=1)	2	Missile Frame Density (Min=1)							40	Anim Frame Adder																							1								8																																					0	0
DiabCold	194							100																																																																									diablo_cold_cast																																	1	0		none												SQ	SQ	S2																													1															0	0									1	1																								200	Frames																					1								8															mag	15	9	9	9	9	9	25	12	12	12	12	12		100	50	50	50					0	0
DiabFire	195							22													diabfire																																																												diablo_fire_cast															25						diabfire				0	Missile Velocity Adder							1	0		none												SQ	SQ	S1																													1															0	0									1	1										0	Missile Velocity Adder																																			1								8																																					0	0
FingerMageSpider	196							101													fingermagespider							fingermagecurse	ln12		manarecovery	#NAME?																																																	fingermage_bolt_cast_1															57						fingermagespider												1	0		none												SQ	SQ	S1																													1															0	0									1											lvl-1	# of Missile Subloops											30	Duration for Mana drain baseline	10	Duration for Mana drain per level	24	Mana Recovery % Reduction																			1								8																																					0	0
DiabWall	197					firestorm		102													diabwallmaker																																																												diablo_fire_cast															58						diabwallmaker												1	0		none												SQ	SQ	S1																				1									1															0	0									1	1										lvl	# of Missiles created																																			1								8																																					0	0
DiabRun	198						54	103																																																																									diablo_run														41	59																		1	0		none												SQ	SQ	xx	22																												1															0	0									1	1										20	Velocity %											8	Anim Run Stop Frame Length	14	Anim Run Stop Event Frame	5	Anim Run Start Event Frame	13	Anim Run Loop Repeat Event Frame	16	Anim Run Loop Frame Length	6	Anim Run Loop Start Event Frame													1				5				8		17	9	9	9	9	9	33	9	9	9	9	9																								0	0
DiabPrison	199							104																																																								boneprison1	none																diablo_boneprison_rise																																	1	0		none												SQ	SQ	S3																													1															0	0									1	1																																														1								8																																					0	0
PoisonBallTrap	200																	trap poison ball left																																																																																			trap poison ball left													1	0		none												SC	SC	S1																													1															0	0									1																																															1								8		10	10	10	10	10	10	20	10	10	10	10	10																								0	0
AndyPoisonBolt	201																	andypoisonbolt																																																																																			andypoisonbolt													1	0		none												SQ	SQ	A1																													1															0	0									1																																															1								8																																					0	0
